what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409149852124
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409150002289
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409150015483
started,bundle,org.eclipse.team.cvs.ssh2,3.2.300.I20110511-0800,"org.eclipse.team.cvs.ssh2",1409150085833
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409150086473
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409150143808
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409150150264
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409151123380
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409151125655
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409151125767
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409151135803
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409151136107
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409151148603
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409151153669
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.properties",1409151153792
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409151158567
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409151164432
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.properties",1409151164453
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1409151177329
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409151215932
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409151216792
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409151218628
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409151241652
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.pull.up",1409151241659
